MAE,MSE,RMSE,R2,TIME
7.465021043190588,647.382157978321,25.44370566521946,-0.0584073466173578,5.5842931270599365
18.169843045748195,2561.6813485076646,50.61305511928384,-0.12376806321239209,4.987893581390381
9.753088595225261,697.3945961974877,26.4082297058604,-0.05199378576756186,5.44441556930542
9.624804737751303,1078.3938472367422,32.838907521973724,-0.05145008632122572,5.218657970428467
10.29694290775519,966.618484327007,31.090488647285795,-0.0766923910127788,5.49937105178833
20.289479628434552,10797.039095755887,103.90880182042274,-0.02948637742836513,5.079803228378296
8.024342609643936,259.77264020698595,16.117463826762137,-0.15570586984579626,5.071782350540161
7.913577547447354,341.4072070801438,18.47720777282498,-0.10360977322007292,5.756105661392212
9.282276301477468,1004.7397384176214,31.69762985489012,-0.05843434647561452,5.250626564025879
28.017924091956207,23419.906738091147,153.03563878420982,-0.028081415566055146,5.699165344238281
